language_family,boundary_failure_category,samples,rate
hinglish,exact_entities_only,2,0.005555555555555556
hinglish,exact_intent_only,146,0.40555555555555556
hinglish,full_exact_match,40,0.1111111111111111
hinglish,intent_correct_entity_drift,40,0.1111111111111111
hinglish,intent_correct_entity_extra,8,0.022222222222222223
hinglish,intent_correct_entity_missing,47,0.13055555555555556
hinglish,intent_wrong_entity_partially_correct,15,0.041666666666666664
hinglish,intent_wrong_no_entity_match,31,0.08611111111111111
hinglish,null_or_unparsed_prediction,31,0.08611111111111111
telugu_english,exact_intent_only,140,0.3888888888888889
telugu_english,full_exact_match,36,0.1
telugu_english,intent_correct_entity_drift,26,0.07222222222222222
telugu_english,intent_correct_entity_extra,8,0.022222222222222223
telugu_english,intent_correct_entity_missing,51,0.14166666666666666
telugu_english,intent_wrong_entity_partially_correct,14,0.03888888888888889
telugu_english,intent_wrong_no_entity_match,49,0.1361111111111111
telugu_english,null_or_unparsed_prediction,36,0.1
